Company (Manufacturer),Company (Manufacturer)_idx
Lindt & Sprungli,313
Lirio,314
Loiza,315
Lonohana,316
Loon,317
Love Bar,318
Love Brown,319
Luisa Abram,320
Luisa's Vegan,321
Luker,322
Lumineux,323
Machu Picchu Trading Co.,324
MaDe Atlantic City Chocolate Bar,325
Madecasse (Cinagra),326
Madhu,327
Madre,328
Maglio,329
Majani,330
Malagasy (Chocolaterie Robert),331
Malagos,332
Malai,333
Malie Kai (Guittard),334
Malmo,335
Mana,336
Manifesto Cacao,337
Manoa,338
Manufaktura Czekolady,339
Map Chocolate,340
Marana,341
Maribea,342
Marigold's Finest,343
Markham & Fitz,344
Marou,345
Mars,346
Marsatta,347
Martin Mayer,348
Mast Brothers,349
Matale,350
Maui Kuia,351
Maverick,352
Mayacama,353
McGuire,354
Meadowlands,355
Mellow,356
Menakao (aka Cinagra),357
Mesocacao,358
Mestico,359
Metiisto,360
Metropolitan,361
Meybol,362
Michel Cluizel,363
Middlebury,364
Mike & Becky,365
Millcreek Cacao Roasters,366
Millesime,367
Milton,368
Mindo,369
Minimal,370
Mirzam,371
Misina,372
Mission,373
Mita,374
Moho,375
Moka Origins,376
Moku,377
Molucca,378
Momotombo,379
Monarque,380
Monsieur Truffe,381
Monsoon,382
Montecristi,383
MUCHO,384
Muchomas (Mesocacao),385
Musee du Chocolat Theobroma,386
Mutari,387
Nahua,388
Naive,389
Nanea,390
Nathan Miller,391
Nearynogs,392
Neuhaus (Callebaut),393
Nibble,394
Night Owl,395
Nikoa,396
Nina,397
Ninth (9th) & Larkin,398
Noble Bean aka Jerjobo,399
Noir d' Ebine,400
Nova Monda,401
Nuance,402
Nugali,403
Oakland Chocolate Co.,404
Obolo,405
Ocelot,406
Ocho,407
Odyssey,408
Ohiyo,409
Oialla by Bojessen (Malmo),410
Olive and Sinclair,411
Olivia,412
Omanhene,413
Omnom,414
Or Dubh,415
Orfeve,416
organicfair,417
Original Beans (Felchlin),418
Original Hawaiin Chocolate Factory,419
Orquidea,420
Pacari,421
Palet D'Or,422
Palette de Bine,423
Pangea,424
Park 75,425
Parliament,426
Parre Chocolat,427
Pascha,428
Patric,429
Paul Young,430
Peppalo,431
Perrenial,432
Petite Patrie,433
Pierre Marcolini,434
Piety and Desire,435
Pinellas,436
Pitch Dark,437
Pollinator,438
Pomm (aka Dead Dog),439
Poppy and Peep,440
Potomac,441
Pralus,442
Primo Botanica,443
Public Chocolatory,444
Pump Street Bakery,445
Pura Delizia,446
Q Chocolate,447
Qantu,448
Quetzalli (Wolter),449
Raaka,450
Rain Republic,451
Rancho San Jacinto,452
Ranger,453
Raoul Boulanger,454
Raphio,455
Raw Cocoa,456
Republica del Cacao (aka Confecta),457
Ritual,458
River-Sea,459
Roasting Masters,460
Robert (aka Chocolaterie Robert),461
Rococo (Grenada Chocolate Co.),462
Rogue,463
Rozsavolgyi,464
Ruket,465
S.A.I.D.,466
Sacred,467
Salgado,468
San Jose,469
